pregunta,respuesta_1,respuesta_2,respuesta_3,respuesta_4,respuesta_correcta
¿Dónde nació Messi?,Rosario,Buenos Aires,Rio Negro,San Juan,1
¿Cuál es el planeta más cercano al Sol?,Venus,Mercurio,Tierra,Marte,2
¿Quién escribió 'Cien años de soledad'?,Mario Vargas Llosa,Gabriel García Márquez,Pablo Neruda,Julio Cortázar,2
¿En qué continente se encuentra Egipto?,Asia,Europa,África,Oceanía,3
¿Cuál es la capital de Japón?,Kyoto,Osaka,Tokio,Hiroshima,3
¿Quién pintó la Mona Lisa?,Leonardo da Vinci,Miguel Ángel,Picasso,Dalí,1
¿Qué gas respiramos para vivir?,Hidrógeno,Nitrógeno,Oxígeno,Dióxido de carbono,3
¿Qué instrumento mide los terremotos?,Barómetro,Termómetro,Sismógrafo,Altímetro,3
¿Cuál es el río más largo del mundo?,Amazonas,Nilo,Yangtsé,Misisipi,1
¿Cuántos huesos tiene el cuerpo humano adulto?,206,201,210,199,1
¿En qué año llegó el hombre a la Luna?,1969,1972,1959,1975,1
¿Cuál es el idioma más hablado del mundo?,Español,Inglés,Hindi,Chino mandarín,4
¿Quién descubrió América?,Fernando de Magallanes,Cristóbal Colón,Hernán Cortés,Américo Vespucio,2
¿Qué animal pone huevos?,Ballena,Perro,Gallina,Delfín,3
¿Qué día se celebra el Día de la Independencia de México?,5 de mayo,16 de septiembre,20 de noviembre,1 de octubre,2
¿Cuál es el océano más grande?,Atlántico,Índico,Ártico,Pacífico,4
¿Cuál es la moneda de Japón?,Yen,Won,Yuan,Dólar,1
¿Cuántos planetas hay en el sistema solar?,7,8,9,10,2
¿Qué país tiene forma de bota?,España,Grecia,Italia,Turquía,3
¿Cuál es el metal más ligero?,Hierro,Aluminio,Litio,Cobre,3
¿Qué significa 'WWW' en una dirección web?,Web World Wide,Wide World Web,World Wide Web,World Web Wide,3
¿Cuál es el animal más rápido del mundo?,Guepardo,Halcón peregrino,Leopardo,Antílope,2
¿Qué vitamina se obtiene del sol?,Vitamina C,Vitamina B,Vitamina D,Vitamina A,3
¿Cuál es el país con más habitantes?,India,China,Estados Unidos,Brasil,1
¿Cuántos colores tiene el arcoíris?,6,7,8,5,2
¿En qué país se encuentran las pirámides de Giza?,Sudán,Irak,Egipto,Libia,3
¿Quién fue el primer presidente de Estados Unidos?,Abraham Lincoln,George Washington,Thomas Jefferson,John Adams,2
¿Qué país ganó el Mundial de Fútbol 2014?,Argentina,Brasil,Alemania,Francia,3
¿Qué parte del cuerpo humano produce insulina?,Hígado,Riñón,Páncreas,Corazón,3
¿Cuál es el número pi (aproximado)?,2.14,3.14,3.41,4.13,2
¿Cuál es el órgano más grande del cuerpo humano?,Cerebro,Hígado,Piel,Pulmón,3
¿Quién escribió 'Don Quijote de la Mancha'?,Miguel de Cervantes,Lope de Vega,Gabriel García Márquez,Borges,1
¿Cuántos continentes hay en el mundo?,5,6,7,8,3
¿De qué país es originario el sushi?,China,Corea del Sur,Tailandia,Japón,4
¿Qué instrumento tiene teclas blancas y negras?,Violín,Guitarra,Piano,Trombón,3
¿En qué país se celebraron los Juegos Olímpicos de 2016?,Japón,Brasil,China,Grecia,2
¿Quién fue Albert Einstein?,Matemático,Médico,Físico,Inventor,3
¿En qué año comenzó la Segunda Guerra Mundial?,1935,1939,1941,1945,2
¿Qué líquido circula por nuestras venas?,Agua,Plasma,Sangre,Linfa,3
¿Cuál es el símbolo químico del oro?,Ag,Au,Fe,Go,2
¿Quién pintó 'La última cena'?,Picasso,Leonardo da Vinci,Rafael,Van Gogh,2
¿Cuántos lados tiene un hexágono?,5,6,7,8,2
¿Qué planeta es conocido como el planeta rojo?,Júpiter,Venus,Marte,Saturno,3
¿En qué país se encuentra la Torre Eiffel?,Italia,España,Francia,Alemania,3
¿Qué animal es conocido como el 'rey de la selva'?,Tigre,León,Guepardo,Elefante,2
¿Dónde se encuentra la Gran Muralla?,Japón,India,China,Corea del Sur,3
¿Qué país inventó la pizza?,Francia,Italia,Grecia,México,2
¿Qué deporte se practica en Wimbledon?,Golf,Tenis,Fútbol,Béisbol,2
¿Qué elemento químico tiene el símbolo H?,Helio,Hidrógeno,Hierro,Hexano,2
¿Cuál es la lengua oficial de Brasil?,Español,Portugués,Francés,Inglés,2
¿En qué año cayó el Imperio Romano de Occidente?,395,410,476,509,3
¿Cuál es el número atómico del oxígeno?,6,7,8,9,3
¿Quién formuló las leyes del movimiento?,Einstein,Newton,Galileo,Kepler,2
